<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.10.02	1846.57	1848.96	1827.19	1828.22	72378	0	4
2023.10.03	1828.20	1833.35	1815.30	1822.69	84660	0	4
2023.10.04	1822.70	1830.59	1816.65	1822.37	86785	0	4
2023.10.05	1822.39	1829.21	1813.10	1821.22	74267	0	4
2023.10.06	1821.23	1834.90	1810.46	1832.52	77698	0	4
2023.10.08	1853.42	1854.52	1845.52	1849.87	3565	0	5
2023.10.09	1849.87	1863.54	1844.23	1861.53	69066	0	4
2023.10.10	1861.52	1865.42	1853.03	1859.87	73445	0	4
2023.10.11	1859.84	1877.21	1858.65	1874.71	67475	0	4
2023.10.12	1874.72	1884.95	1867.94	1869.79	64371	0	4
2023.10.13	1869.77	1932.90	1869.77	1932.79	73969	0	4
2023.10.15	1927.73	1927.73	1921.25	1924.42	1635	0	5
2023.10.16	1924.49	1926.36	1908.26	1918.89	61139	0	4
2023.10.17	1918.90	1931.61	1913.34	1924.91	56941	0	4
2023.10.18	1924.95	1962.61	1923.80	1949.80	68516	0	4
2023.10.19	1949.89	1977.75	1945.27	1972.58	71497	0	4
2023.10.20	1972.57	1997.20	1972.03	1981.54	68003	0	4
2023.10.22	1973.08	1978.62	1972.81	1976.35	1374	0	5
2023.10.23	1976.70	1982.85	1964.41	1973.08	64938	0	4
2023.10.24	1973.10	1980.85	1953.67	1970.59	63377	0	4
2023.10.25	1970.58	1987.26	1963.13	1982.16	59506	0	4
2023.10.26	1982.17	1993.50	1971.78	1985.36	65563	0	4
2023.10.27	1985.52	2009.40	1976.91	2006.24	64176	0	4
2023.10.29	2001.45	2003.69	2000.62	2002.81	1291	0	5
2023.10.30	2002.57	2006.82	1990.95	1995.61	63515	0	4
2023.10.31	1995.60	2007.91	1978.88	1983.69	66303	0	4
2023.11.01	1983.69	1992.01	1969.90	1985.10	65706	0	4
2023.11.02	1985.10	1991.05	1978.87	1985.02	59964	0	4
2023.11.03	1985.01	2004.09	1983.30	1992.61	59513	0	5
2023.11.05	1991.55	1991.58	1987.19	1988.53	1666	0	5
2023.11.06	1988.51	1993.17	1975.87	1976.80	61167	0	4
2023.11.07	1976.95	1977.09	1956.73	1969.01	61939	0	4
2023.11.08	1969.00	1971.05	1947.48	1950.89	61762	0	4
2023.11.09	1950.89	1965.60	1944.82	1959.16	64997	0	4
2023.11.10	1959.10	1960.83	1933.20	1938.23	60958	0	5
2023.11.13	1936.93	1949.24	1931.74	1946.54	48449	0	4
2023.11.14	1946.55	1970.92	1943.82	1962.52	54250	0	4
2023.11.15	1962.56	1975.24	1955.49	1960.44	60392	0	4
2023.11.16	1960.42	1987.95	1956.53	1982.68	55517	0	4
2023.11.17	1982.60	1993.43	1978.66	1980.76	54559	0	5
2023.11.19	1977.68	1978.80	1974.28	1974.58	1283	0	5
2023.11.20	1974.66	1985.22	1965.51	1981.32	64529	0	4
2023.11.21	1981.30	2007.52	1980.83	1999.39	60924	0	4
2023.11.22	1999.37	2006.30	1986.96	1990.55	61604	0	4
2023.11.23	1990.50	1998.56	1989.89	1994.16	33986	0	4
2023.11.24	1994.15	2003.62	1991.51	2002.38	43439	0	5
2023.11.27	2011.63	2016.29	2005.83	2015.32	47151	0	4
2023.11.28	2015.34	2044.57	2011.75	2044.46	64376	0	4
2023.11.29	2044.52	2052.01	2035.49	2044.71	69525	0	4
2023.11.30	2044.70	2047.26	2031.70	2040.14	63111	0	4
2023.12.01	2040.13	2075.40	2033.93	2072.05	66265	0	5
2023.12.03	2074.37	2144.85	2071.90	2117.39	3489	0	5
2023.12.04	2118.80	2120.15	2020.19	2034.07	81560	0	4
2023.12.05	2034.04	2041.23	2009.97	2018.99	72537	0	4
2023.12.06	2018.99	2035.88	2018.80	2027.17	63551	0	4
2023.12.07	2027.14	2039.96	2020.26	2028.12	65561	0	4
2023.12.08	2028.13	2034.03	1994.77	2004.53	68552	0	5
2023.12.10	2005.76	2007.70	2004.63	2007.10	1597	0	5
2023.12.11	2007.09	2007.82	1975.92	1983.03	65588	0	4
2023.12.12	1983.02	1996.67	1977.23	1982.50	63129	0	4
2023.12.13	1982.50	2033.16	1973.12	2032.90	65912	0	4
2023.12.14	2033.00	2047.94	2027.64	2035.58	93381	0	4
2023.12.15	2035.60	2044.94	2015.65	2019.65	74200	0	5
2023.12.17	2019.70	2020.11	2016.05	2017.46	1448	0	5
2023.12.18	2017.66	2033.71	2016.13	2027.66	59470	0	4
2023.12.19	2027.72	2047.00	2021.72	2040.92	60858	0	4
2023.12.20	2040.99	2043.48	2027.50	2032.23	64009	0	4
2023.12.21	2032.23	2055.02	2032.02	2052.87	68562	0	4
2023.12.22	2052.88	2070.67	2046.86	2053.06	76786	0	5
2023.12.25	2057.57	2057.77	2054.05	2054.98	1027	0	4
2023.12.26	2054.97	2069.11	2053.56	2066.23	42440	0	4
2023.12.27	2066.25	2084.48	2061.55	2079.59	59266	0	4
2023.12.28	2079.63	2088.50	2064.70	2066.77	77039	0	4
2023.12.29	2066.86	2074.82	2058.28	2062.84	77700	0	5
2024.01.01	2065.41	2066.54	2063.25	2063.76	1473	0	5
2024.01.02	2063.80	2078.91	2056.04	2059.66	78663	0	4
2024.01.03	2059.65	2066.02	2030.68	2043.02	77231	0	5
2024.01.04	2043.01	2050.98	2036.28	2044.31	95925	0	5
2024.01.05	2044.32	2064.00	2024.53	2045.61	93811	0	5
2024.01.07	2044.67	2045.67	2043.03	2044.38	1690	0	5
2024.01.08	2044.40	2046.65	2016.82	2030.77	96357	0	0
2024.01.09	2030.75	2041.98	2026.12	2030.85	120205	0	0
2024.01.10	2030.79	2040.19	2020.49	2026.78	115047	0	0
2024.01.11	2026.81	2039.69	2013.35	2035.34	119966	0	0
2024.01.12	2035.30	2062.24	2030.14	2049.08	75314	0	5
2024.01.14	2047.96	2048.71	2046.39	2047.65	1404	0	5
2024.01.15	2047.80	2058.64	2045.88	2054.06	48307	0	4
2024.01.16	2054.10	2054.57	2024.31	2028.16	88116	0	0
2024.01.17	2028.18	2033.00	2001.87	2009.61	120301	0	0
2024.01.18	2009.60	2024.47	2005.83	2023.81	72021	0	4
2024.01.19	2023.78	2039.32	2020.44	2029.64	82756	0	0
2024.01.21	2028.82	2028.82	2027.01	2027.60	1226	0	6
2024.01.22	2027.63	2032.18	2016.63	2020.78	88597	0	0
2024.01.23	2020.81	2037.88	2019.64	2029.39	96851	0	0
2024.01.24	2029.37	2036.71	2011.27	2016.39	103313	0	0
2024.01.25	2016.42	2025.19	2010.07	2020.68	110188	0	0
2024.01.26	2020.76	2026.82	2015.97	2018.48	95507	0	0
2024.01.28	2023.91	2028.66	2021.34	2021.91	4063	0	0
2024.01.29	2021.96	2037.64	2019.35	2031.14	103440	0	0
2024.01.30	2031.11	2048.62	2029.11	2036.49	99498	0	6
2024.01.31	2036.47	2056.00	2031.00	2039.97	134112	0	6
2024.02.01	2039.99	2065.43	2030.12	2054.90	140072	0	6
2024.02.02	2054.89	2057.66	2027.90	2039.67	111444	0	6
2024.02.04	2041.84	2042.28	2039.22	2039.29	2727	0	6
2024.02.05	2039.30	2039.88	2014.92	2025.14	123530	0	6
2024.02.06	2025.13	2038.91	2022.96	2035.29	103674	0	6
2024.02.07	2035.27	2044.58	2030.63	2036.52	99187	0	6
2024.02.08	2036.51	2038.71	2020.21	2034.31	107928	0	6
2024.02.09	2034.23	2037.11	2020.34	2024.59	93518	0	6
2024.02.11	2026.33	2026.79	2024.45	2025.46	1504	0	6
2024.02.12	2025.49	2027.52	2011.92	2018.95	86756	0	6
2024.02.13	2018.94	2032.42	1990.19	1991.51	99952	0	6
2024.02.14	1991.48	1996.15	1984.30	1993.77	105370	0	6
2024.02.15	1993.80	2008.29	1990.27	2003.49	100162	0	6
2024.02.16	2003.57	2015.19	1995.15	2013.24	96405	0	6
2024.02.18	2011.87	2016.36	2011.17	2014.01	1962	0	6
2024.02.19	2013.96	2023.04	2013.31	2016.24	62302	0	6
2024.02.20	2016.26	2030.89	2015.06	2024.28	91738	0	6
2024.02.21	2024.30	2032.29	2020.10	2025.76	102658	0	6
2024.02.22	2025.72	2034.90	2019.68	2024.79	103075	0	6
2024.02.23	2024.81	2041.38	2016.08	2035.54	95754	0	6
2024.02.25	2033.26	2035.01	2033.26	2034.06	1345	0	6
2024.02.26	2034.05	2037.06	2025.13	2031.31	88283	0	6
2024.02.27	2031.30	2039.49	2028.81	2030.11	83194	0	6
2024.02.28	2030.14	2037.88	2024.56	2034.70	87469	0	6
2024.02.29	2034.74	2050.76	2028.14	2044.35	96247	0	6
2024.03.01	2044.31	2088.34	2039.08	2082.95	113182	0	6
2024.03.03	2082.82	2086.25	2082.72	2083.60	2889	0	6
2024.03.04	2083.61	2119.93	2079.48	2114.64	109377	0	6
2024.03.05	2114.63	2141.77	2110.51	2128.09	129366	0	6
2024.03.06	2128.11	2152.24	2123.77	2147.40	129557	0	6
2024.03.07	2147.39	2164.77	2144.25	2162.00	127776	0	6
2024.03.08	2161.99	2195.17	2154.05	2179.14	129327	0	6
2024.03.10	2178.24	2183.90	2178.24	2181.67	3118	0	6
2024.03.11	2181.72	2189.02	2174.91	2183.68	110566	0	6
2024.03.12	2183.69	2184.55	2150.65	2157.02	122457	0	6
2024.03.13	2157.03	2179.87	2156.68	2175.51	107977	0	6
2024.03.14	2175.49	2177.00	2152.85	2161.65	107705	0	6
2024.03.15	2161.64	2172.75	2155.23	2155.76	101596	0	6
2024.03.17	2153.18	2156.94	2153.18	2156.60	4309	0	6
2024.03.18	2156.58	2163.63	2146.14	2162.16	101435	0	6
2024.03.19	2162.19	2162.89	2147.18	2157.09	103468	0	6
2024.03.20	2157.11	2222.90	2149.63	2204.00	117476	0	6
2024.03.21	2204.01	2212.47	2166.45	2181.83	143957	0	6
2024.03.22	2181.80	2186.10	2157.19	2165.15	121240	0	6
2024.03.24	2166.42	2168.95	2165.25	2168.41	4505	0	6
2024.03.25	2168.44	2181.34	2163.60	2172.99	109862	0	6
2024.03.26	2172.98	2200.13	2167.65	2179.52	118572	0	6
2024.03.27	2179.53	2197.64	2173.48	2190.75	106268	0	6
2024.03.28	2190.79	2236.26	2187.41	2232.86	129774	0	6
2024.03.31	2240.22	2247.41	2235.73	2246.10	9676	0	6
2024.04.01	2246.23	2265.75	2228.54	2249.05	124259	0	6
2024.04.02	2249.03	2283.64	2246.75	2280.01	146085	0	6
2024.04.03	2279.87	2301.61	2265.45	2297.58	149256	0	6
2024.04.04	2297.60	2305.62	2280.09	2288.79	134717	0	6
2024.04.05	2288.88	2330.44	2267.83	2329.70	148916	0	6
2024.04.07	2310.92	2314.42	2309.42	2311.29	4617	0	6
2024.04.08	2311.35	2354.02	2302.98	2338.85	167931	0	6
2024.04.09	2338.84	2365.37	2337.90	2354.97	159381	0	6
2024.04.10	2354.87	2360.09	2319.43	2335.59	161344	0	6
2024.04.11	2335.66	2377.71	2325.84	2376.91	165831	0	6
2024.04.12	2377.06	2431.52	2333.88	2344.17	192588	0	6
2024.04.14	2358.78	2365.51	2356.82	2364.75	4354	0	6
2024.04.15	2364.77	2387.60	2324.47	2381.98	182709	0	6
2024.04.16	2381.99	2398.30	2363.05	2382.75	177193	0	6
2024.04.17	2382.82	2395.61	2354.54	2367.96	162467	0	6
2024.04.18	2367.97	2392.80	2364.13	2379.93	147121	0	6
2024.04.19	2379.83	2417.86	2372.95	2392.24	175369	0	6
2024.04.21	2385.61	2387.87	2385.19	2386.57	2958	0	6
2024.04.22	2386.48	2386.48	2324.85	2333.86	144731	0	6
2024.04.23	2333.77	2334.47	2291.53	2323.35	154165	0	6
2024.04.24	2323.34	2337.29	2311.82	2316.30	128150	0	6
2024.04.25	2316.35	2344.87	2305.21	2330.68	125759	0	6
2024.04.26	2330.67	2352.55	2326.38	2338.03	116916	0	6
2024.04.28	2335.28	2336.88	2334.80	2336.00	1549	0	6
2024.04.29	2335.89	2346.74	2320.04	2333.18	132761	0	6
2024.04.30	2333.21	2336.20	2285.20	2291.40	132400	0	6
2024.05.01	2291.36	2328.34	2281.66	2323.82	127717	0	6
2024.05.02	2323.89	2326.45	2285.53	2304.29	126430	0	6
2024.05.03	2304.28	2320.43	2277.32	2301.55	114758	0	6
2024.05.05	2301.75	2302.87	2293.39	2293.97	3406	0	6
2024.05.06	2293.98	2332.06	2291.90	2326.07	123529	0	6
2024.05.07	2326.08	2329.95	2310.06	2315.20	114168	0	6
2024.05.08	2315.27	2321.49	2303.73	2308.87	115587	0	6
2024.05.09	2308.93	2348.40	2306.75	2346.61	121864	0	6
2024.05.10	2346.62	2378.41	2346.05	2360.45	136594	0	6
2024.05.12	2361.75	2362.56	2359.80	2360.44	1678	0	6
2024.05.13	2360.46	2364.52	2332.27	2338.46	131345	0	6
2024.05.14	2338.44	2359.65	2334.87	2355.86	127942	0	6
2024.05.15	2355.87	2391.92	2351.93	2391.87	147918	0	6
2024.05.16	2391.89	2397.41	2371.00	2377.91	145640	0	6
2024.05.17	2377.90	2422.75	2374.02	2414.73	136882	0	6
2024.05.19	2418.30	2420.66	2417.27	2420.35	3499	0	6
2024.05.20	2420.34	2450.08	2407.43	2426.28	170641	0	6
2024.05.21	2426.29	2433.98	2406.45	2421.80	158170	0	6
2024.05.22	2421.80	2426.56	2375.00	2382.31	161855	0	6
2024.05.23	2382.34	2383.73	2327.12	2332.04	170387	0	6
2024.05.24	2332.07	2347.44	2325.44	2333.87	126839	0	6
2024.05.26	2339.08	2340.70	2336.64	2337.25	2157	0	6
2024.05.27	2337.25	2358.49	2334.52	2352.51	91731	0	6
2024.05.28	2352.53	2364.07	2340.32	2359.95	138929	0	6
2024.05.29	2359.95	2361.35	2334.62	2338.44	135027	0	6
2024.05.30	2338.44	2351.80	2322.63	2344.07	151457	0	6
2024.05.31	2344.05	2359.76	2320.63	2327.25	150878	0	6
2024.06.02	2326.13	2326.67	2324.09	2325.94	2199	0	6
2024.06.03	2325.97	2354.75	2314.78	2350.62	145928	0	5
2024.06.04	2350.64	2352.85	2315.70	2328.87	146935	0	5
2024.06.05	2328.87	2357.59	2325.94	2355.07	130731	0	5
2024.06.06	2355.07	2378.53	2353.57	2376.92	141346	0	5
2024.06.07	2376.91	2387.73	2286.83	2293.82	162509	0	5
2024.06.09	2297.10	2300.11	2296.58	2298.57	2685	0	5
2024.06.10	2298.63	2313.79	2287.79	2310.00	110693	0	5
2024.06.11	2309.97	2319.93	2297.81	2315.20	125743	0	5
2024.06.12	2315.20	2341.67	2310.77	2320.63	138121	0	5
2024.06.13	2320.63	2326.68	2295.63	2302.36	133097	0	5
2024.06.14	2302.36	2336.65	2301.58	2332.66	134160	0	5
2024.06.16	2328.83	2329.73	2327.45	2329.00	2068	0	5
2024.06.17	2328.95	2329.00	2310.07	2320.78	115238	0	5
2024.06.18	2320.78	2333.15	2306.64	2328.35	116093	0	5
2024.06.19	2328.38	2335.03	2323.88	2329.43	66626	0	5
2024.06.20	2329.43	2365.49	2327.79	2360.89	116979	0	5
2024.06.21	2360.91	2368.75	2316.79	2321.69	119820	0	5
2024.06.23	2321.33	2321.38	2317.76	2319.25	2126	0	5
2024.06.24	2319.25	2334.70	2318.02	2330.89	105598	0	5
2024.06.25	2330.97	2337.09	2315.55	2320.07	106554	0	5
2024.06.26	2320.07	2324.07	2293.69	2298.43	117848	0	5
2024.06.27	2298.43	2330.96	2296.57	2327.76	103208	0	5
2024.06.28	2327.76	2339.82	2319.15	2326.52	110506	0	5
2024.06.30	2323.38	2326.03	2323.02	2324.61	1172	0	5
2024.07.01	2324.61	2338.56	2318.57	2331.87	111208	0	3
2024.07.02	2331.89	2336.82	2319.15	2330.11	102991	0	1
2024.07.03	2330.09	2364.99	2326.91	2358.90	109407	0	1
2024.07.04	2358.90	2362.52	2350.61	2357.50	64215	0	0
2024.07.05	2357.50	2392.96	2352.65	2391.36	115658	0	2
2024.07.07	2389.60	2390.25	2385.02	2385.42	1784	0	4
2024.07.08	2385.40	2391.16	2351.18	2359.86	115857	0	0
2024.07.09	2359.86	2371.55	2349.52	2364.48	111098	0	1
2024.07.10	2364.47	2386.73	2363.36	2372.86	97663	0	2
2024.07.11	2372.86	2424.61	2371.53	2414.13	119845	0	0
2024.07.12	2414.07	2418.33	2391.52	2411.11	114968	0	2
2024.07.14	2411.27	2412.24	2406.98	2407.65	3151	0	1
2024.07.15	2407.65	2439.66	2401.40	2421.05	122684	0	1
2024.07.16	2421.05	2470.01	2420.08	2469.08	130315	0	1
2024.07.17	2469.08	2483.72	2451.56	2459.28	159755	0	0
2024.07.18	2459.31	2474.98	2440.40	2444.45	135064	0	1
2024.07.19	2444.45	2445.24	2393.88	2400.69	145267	0	0
2024.07.21	2403.75	2411.73	2402.57	2411.42	2539	0	0
2024.07.22	2411.38	2412.19	2383.89	2395.24	126740	0	0
2024.07.23	2395.24	2412.06	2388.33	2409.45	124325	0	1
2024.07.24	2409.42	2432.03	2393.12	2397.91	139172	0	0
2024.07.25	2397.91	2401.26	2353.22	2363.36	177338	0	0
2024.07.26	2363.35	2390.82	2355.89	2387.10	137462	0	0
2024.07.28	2387.99	2403.22	2387.94	2395.84	4456	0	2
2024.07.29	2395.84	2402.56	2369.76	2384.12	142928	0	0
2024.07.30	2384.12	2412.75	2376.59	2409.26	136769	0	0
2024.07.31	2409.26	2450.95	2403.70	2447.66	160232	0	0
2024.08.01	2447.66	2462.33	2430.29	2445.23	178127	0	1
2024.08.02	2445.23	2477.54	2411.07	2441.84	183323	0	0
2024.08.04	2440.18	2446.37	2437.68	2441.46	4496	0	2
2024.08.05	2441.49	2458.83	2364.37	2409.01	240105	0	0
2024.08.06	2409.03	2418.41	2381.84	2388.69	190391	0	1
2024.08.07	2388.68	2407.08	2379.11	2383.78	163510	0	0
2024.08.08	2383.80	2427.60	2382.88	2425.88	165797	0	0
2024.08.09	2425.87	2437.08	2416.95	2430.87	133544	0	0
2024.08.11	2428.37	2433.53	2427.40	2430.55	2748	0	0
2024.08.12	2430.56	2474.09	2423.92	2473.81	125100	0	0
2024.08.13	2473.81	2476.96	2458.52	2465.59	138366	0	0
2024.08.14	2465.59	2479.80	2438.15	2447.97	148915	0	0
2024.08.15	2447.96	2470.11	2432.24	2454.91	138228	0	0
2024.08.16	2454.94	2509.75	2450.83	2507.73	141640	0	0
2024.08.18	2505.92	2506.18	2502.21	2504.94	3551	0	4
2024.08.19	2504.96	2507.55	2485.72	2504.35	115173	0	4
2024.08.20	2504.38	2531.69	2497.38	2514.81	114077	0	4
2024.08.21	2514.82	2519.98	2494.10	2514.04	111088	0	4
2024.08.22	2514.05	2514.70	2470.85	2485.20	116586	0	4
2024.08.23	2485.20	2518.37	2485.02	2512.49	113075	0	4
2024.08.25	2512.08	2514.63	2511.13	2513.08	1816	0	4
2024.08.26	2513.10	2526.86	2508.80	2517.36	113542	0	4
2024.08.27	2517.39	2526.04	2503.60	2525.67	110823	0	4
2024.08.28	2525.68	2529.06	2493.73	2507.30	109440	0	4
2024.08.29	2507.23	2528.70	2503.69	2520.98	109619	0	4
2024.08.30	2521.00	2526.86	2494.29	2503.23	132042	0	4
2024.09.01	2502.76	2504.89	2502.60	2503.51	1295	0	4
2024.09.02	2503.52	2507.33	2490.16	2497.81	85668	0	4
2024.09.03	2497.81	2506.34	2473.60	2493.14	143661	0	4
2024.09.04	2493.15	2500.28	2471.96	2495.43	131417	0	4
2024.09.05	2495.44	2523.50	2493.89	2516.24	128477	0	4
2024.09.06	2516.23	2529.18	2485.21	2497.37	143129	0	4
2024.09.08	2497.06	2498.04	2496.22	2497.93	1499	0	4
2024.09.09	2497.98	2507.24	2485.60	2507.11	129947	0	4
2024.09.10	2507.02	2518.47	2500.21	2516.54	119998	0	4
2024.09.11	2516.57	2529.10	2488.00	2512.94	145283	0	4
2024.09.12	2512.93	2560.09	2511.09	2557.48	202689	0	4
2024.09.13	2557.51	2586.09	2556.72	2578.88	209140	0	4
2024.09.15	2578.22	2580.49	2577.71	2580.12	2924	0	4
2024.09.16	2580.15	2589.69	2575.34	2582.96	157331	0	4
2024.09.17	2583.03	2586.97	2560.84	2570.80	184927	0	4
2024.09.18	2570.78	2600.19	2547.02	2559.36	224600	0	3
2024.09.19	2559.35	2594.92	2551.29	2587.80	245342	0	4
2024.09.20	2587.72	2625.80	2584.87	2622.17	218835	0	4
2024.09.22	2621.06	2622.07	2619.78	2620.48	1510	0	4
2024.09.23	2620.48	2634.89	2613.91	2627.58	187706	0	4
2024.09.24	2627.55	2664.40	2622.72	2659.23	205825	0	4
2024.09.25	2659.19	2670.62	2649.82	2658.36	144586	0	4
2024.09.26	2658.31	2685.63	2654.88	2672.41	201283	0	4
2024.09.27	2672.46	2674.31	2643.15	2658.29	245092	0	4
2024.09.29	2662.10	2663.57	2659.89	2662.81	4769	0	4
2024.09.30	2662.78	2665.99	2624.72	2635.04	241894	0	4
2024.10.01	2635.07	2673.12	2634.00	2662.14	205315	0	4
2024.10.02	2662.15	2663.28	2641.18	2659.53	185479	0	4
2024.10.03	2659.54	2662.93	2639.66	2656.10	196743	0	4
2024.10.04	2656.09	2670.21	2632.04	2653.70	197243	0	4
2024.10.06	2651.26	2652.26	2650.06	2650.87	2733	0	4
2024.10.07	2650.88	2659.72	2637.80	2644.26	176716	0	4
2024.10.08	2644.27	2653.03	2604.81	2622.02	215975	0	4
2024.10.09	2622.05	2624.37	2605.22	2608.92	159636	0	4
2024.10.10	2608.88	2631.51	2603.36	2628.30	175155	0	4
2024.10.11	2628.32	2661.45	2628.32	2657.00	157614	0	4
2024.10.13	2651.03	2652.55	2646.95	2650.35	3646	0	4
2024.10.14	2650.36	2666.82	2643.23	2650.07	141958	0	4
2024.10.15	2650.09	2668.93	2638.19	2662.21	170830	0	4
2024.10.16	2662.22	2685.37	2658.76	2673.81	162718	0	4
2024.10.17	2673.80	2696.77	2673.21	2692.67	176445	0	4
2024.10.18	2692.72	2722.58	2692.38	2721.68	178327	0	4
2024.10.20	2723.13	2723.89	2720.44	2723.68	2530	0	4
2024.10.21	2723.65	2740.59	2714.23	2720.77	190376	0	4
2024.10.22	2720.78	2748.90	2720.48	2747.39	170945	0	4
2024.10.23	2747.40	2758.49	2708.75	2718.06	185798	0	4
2024.10.24	2718.07	2743.30	2717.91	2734.68	170465	0	4
2024.10.25	2734.69	2747.74	2717.08	2747.03	154429	0	4
2024.10.27	2736.69	2740.27	2734.81	2735.85	4348	0	4
2024.10.28	2735.86	2745.99	2724.76	2744.51	147900	0	4
2024.10.29	2744.50	2775.21	2743.34	2775.07	166211	0	4
2024.10.30	2775.10	2790.03	2770.93	2785.49	165500	0	4
2024.10.31	2785.50	2790.12	2731.58	2746.78	171058	0	4
2024.11.01	2746.82	2762.27	2733.26	2736.63	171583	0	4
2024.11.03	2733.02	2740.40	2732.62	2738.43	4172	0	4
2024.11.04	2738.42	2748.22	2731.83	2736.07	156940	0	4
2024.11.05	2736.08	2750.00	2724.75	2745.70	156701	0	4
2024.11.06	2745.68	2749.75	2652.51	2664.09	270808	0	4
2024.11.07	2664.07	2710.21	2643.41	2706.93	208215	0	4
2024.11.08	2706.92	2710.41	2680.36	2684.75	277332	0	4
2024.11.10	2682.61	2685.76	2681.61	2685.67	4583	0	4
2024.11.11	2685.66	2686.17	2610.69	2624.01	261594	0	4
2024.11.12	2624.02	2627.17	2589.69	2598.97	279238	0	4
2024.11.13	2598.98	2618.75	2569.40	2570.94	266147	0	4
2024.11.14	2570.93	2577.51	2536.86	2566.98	298407	0	4
2024.11.15	2566.97	2575.98	2554.47	2561.75	254118	0	4
2024.11.17	2568.37	2575.55	2568.37	2571.46	6585	0	4
2024.11.18	2571.41	2615.11	2569.89	2612.64	250692	0	4
2024.11.19	2612.66	2639.48	2611.13	2635.19	269525	0	4
2024.11.20	2635.17	2655.45	2618.89	2652.21	229771	0	4
2024.11.21	2652.24	2673.54	2650.46	2669.19	235676	0	4
2024.11.22	2669.20	2715.33	2668.89	2714.60	264226	0	3
2024.11.24	2712.34	2721.40	2710.71	2719.88	9007	0	4
2024.11.25	2719.87	2720.21	2605.27	2610.48	362993	0	4
2024.11.26	2610.51	2641.96	2608.69	2632.30	294869	0	4
2024.11.27	2632.31	2658.24	2627.13	2637.13	244967	0	4
2024.11.28	2637.18	2649.70	2620.98	2638.83	158402	0	4
2024.11.29	2638.82	2666.32	2634.10	2655.31	221646	0	4
2024.12.01	2649.16	2650.37	2643.15	2645.76	5962	0	4
2024.12.02	2645.77	2651.74	2621.93	2642.27	281665	0	4
2024.12.03	2642.31	2655.65	2634.15	2642.82	204398	0	4
2024.12.04	2642.81	2657.21	2632.50	2650.41	198078	0	4
2024.12.05	2650.40	2655.56	2623.57	2633.84	185775	0	4
2024.12.06	2633.85	2645.66	2613.68	2633.13	203786	0	4
2024.12.08	2643.24	2648.34	2636.40	2640.15	5350	0	4
2024.12.09	2640.14	2676.43	2627.57	2660.57	209599	0	4
2024.12.10	2660.56	2698.40	2658.00	2696.05	197027	0	4
2024.12.11	2696.06	2721.14	2675.78	2720.13	230325	0	4
2024.12.12	2720.12	2726.20	2675.24	2680.75	234279	0	4
2024.12.13	2680.74	2692.82	2646.16	2648.75	233297	0	4
2024.12.15	2649.41	2653.09	2648.79	2651.56	3373	0	4
2024.12.16	2651.55	2664.42	2643.63	2651.79	175345	0	4
2024.12.17	2651.78	2658.70	2633.16	2647.49	189824	0	4
2024.12.18	2647.50	2651.76	2583.94	2587.99	199676	0	4
2024.12.19	2588.01	2626.46	2587.05	2593.59	235970	0	4
2024.12.20	2593.59	2631.94	2589.68	2622.67	204705	0	4
2024.12.22	2622.69	2624.85	2621.79	2624.30	2273	0	4
2024.12.23	2624.38	2633.29	2608.23	2615.48	136156	0	4
2024.12.24	2615.51	2621.53	2610.11	2618.75	86742	0	4
2024.12.25	2615.95	2620.19	2615.34	2618.63	1517	0	4
2024.12.26	2618.62	2639.18	2618.61	2632.51	97213	0	4
2024.12.27	2632.53	2638.36	2611.62	2621.69	117737	0	4
2024.12.29	2621.85	2626.25	2621.74	2624.29	2463	0	4
2024.12.30	2624.30	2628.21	2596.12	2606.76	130328	0	4
2024.12.31	2606.73	2627.57	2602.53	2624.22	112220	0	4
2025.01.01	2625.14	2625.85	2621.64	2623.77	1848	0	4
2025.01.02	2623.79	2660.56	2622.88	2658.34	160831	0	4
2025.01.03	2658.36	2665.42	2636.77	2639.67	164404	0	4
2025.01.05	2639.77	2642.47	2639.73	2641.08	2494	0	4
2025.01.06	2641.03	2649.32	2616.47	2634.67	185667	0	4
2025.01.07	2634.69	2664.33	2633.02	2649.81	195622	0	4
2025.01.08	2649.69	2670.12	2645.35	2662.64	184666	0	4
2025.01.09	2662.62	2678.35	2655.60	2670.06	144246	0	4
2025.01.10	2670.05	2697.93	2663.68	2689.37	225456	0	4
2025.01.12	2689.55	2691.31	2687.47	2691.19	3345	0	4
2025.01.13	2691.17	2693.44	2656.95	2668.02	236848	0	4
2025.01.14	2668.12	2678.24	2659.96	2675.64	211686	0	4
2025.01.15	2675.64	2697.53	2669.36	2694.93	205426	0	4
2025.01.16	2695.04	2724.80	2690.05	2714.65	214260	0	4
2025.01.17	2714.64	2717.35	2699.08	2702.69	190371	0	4
2025.01.19	2701.20	2703.20	2691.13	2696.72	4039	0	4
2025.01.20	2696.62	2713.80	2689.45	2710.37	168447	0	4
2025.01.21	2710.38	2746.03	2702.51	2744.40	164093	0	4
2025.01.22	2744.49	2763.47	2742.64	2755.45	155897	0	4
2025.01.23	2755.44	2758.92	2735.95	2754.57	174466	0	4
2025.01.24	2754.54	2785.98	2754.39	2771.23	199391	0	4
2025.01.26	2765.77	2768.98	2764.09	2767.64	2972	0	4
2025.01.27	2767.51	2772.70	2730.58	2741.73	229480	0	4
