<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.23	16:00:00	2321.33	2321.38	2317.76	2319.25	2126	0	5
2024.06.24	00:00:00	2319.25	2331.82	2318.02	2331.09	39948	0	5
2024.06.24	08:00:00	2331.64	2333.91	2320.94	2327.67	49446	0	5
2024.06.24	16:00:00	2327.67	2334.70	2326.93	2330.89	16204	0	5
2024.06.25	00:00:00	2330.97	2331.00	2322.79	2324.83	36058	0	5
2024.06.25	08:00:00	2324.83	2337.09	2315.75	2324.80	52478	0	5
2024.06.25	16:00:00	2324.80	2325.06	2315.55	2320.07	18018	0	5
2024.06.26	00:00:00	2320.07	2324.07	2309.71	2316.13	41946	0	5
2024.06.26	08:00:00	2316.13	2318.46	2293.69	2300.07	58276	0	5
2024.06.26	16:00:00	2300.07	2303.00	2296.83	2298.43	17626	0	5
2024.06.27	00:00:00	2298.43	2303.45	2296.57	2302.35	31928	0	5
2024.06.27	08:00:00	2302.35	2330.96	2302.07	2327.58	54855	0	5
2024.06.27	16:00:00	2327.58	2328.59	2322.52	2327.76	16425	0	5
2024.06.28	00:00:00	2327.76	2328.87	2319.15	2327.22	38856	0	5
2024.06.28	08:00:00	2327.23	2339.82	2322.92	2328.64	54468	0	5
2024.06.28	16:00:00	2328.66	2332.74	2322.94	2326.52	17182	0	5
2024.06.30	16:00:00	2323.38	2326.03	2323.02	2324.61	1172	0	5
2024.07.01	00:00:00	2324.61	2329.05	2318.57	2326.53	34970	0	5
2024.07.01	08:00:00	2326.53	2338.56	2319.36	2324.10	53284	0	3
2024.07.01	16:00:00	2324.13	2332.45	2323.13	2331.87	22954	0	4
2024.07.02	00:00:00	2331.89	2334.39	2324.98	2330.84	27223	0	4
2024.07.02	08:00:00	2330.45	2336.82	2319.15	2326.68	52720	0	3
2024.07.02	16:00:00	2326.68	2331.37	2321.02	2330.11	23048	0	1
2024.07.03	00:00:00	2330.09	2341.30	2326.91	2340.22	27313	0	1
2024.07.03	08:00:00	2340.23	2364.99	2338.95	2362.50	58788	0	2
2024.07.03	16:00:00	2362.50	2364.08	2353.79	2358.90	23306	0	2
2024.07.04	00:00:00	2358.90	2362.52	2350.61	2356.39	26560	0	1
2024.07.04	08:00:00	2356.35	2361.87	2353.71	2358.97	27929	0	0
2024.07.04	16:00:00	2358.98	2360.70	2354.32	2357.50	9726	0	3
2024.07.05	00:00:00	2357.50	2366.37	2356.09	2364.06	31115	0	2
2024.07.05	08:00:00	2364.06	2385.16	2352.65	2380.77	54384	0	2
2024.07.05	16:00:00	2380.77	2392.96	2378.61	2391.36	30159	0	2
2024.07.07	16:00:00	2389.60	2390.25	2385.02	2385.42	1784	0	4
2024.07.08	00:00:00	2385.40	2391.16	2376.77	2376.97	37649	0	2
2024.07.08	08:00:00	2376.97	2381.15	2368.36	2373.29	50058	0	3
2024.07.08	16:00:00	2373.29	2375.04	2351.18	2359.86	28150	0	0
2024.07.09	00:00:00	2359.86	2368.83	2359.86	2364.16	33988	0	1
